'Description', 'image+AF8-id','scene+AF8-id','Object Type'
' Get the bottle that is in front of the keyboard', '101','1','bottle'
' Get the bottle that is in the middle of the other 2', '106','2','bottle'
' Gran the coffee mug that is on the right of the computer closest to the computer', '119','3','mug'
' Grab the book', '123','4','book'
' Get the bottle that is in the back right near the monitor', '27','5','bottle'
' Gran the coffee mug that is front right', '28','6','mug'
' Get the bottle that is in front of the keyboard on the left', '29','7','bottle'
' Get the coffee mug that is in front of the monitor', '37','8','mug'
' Get the coffee mug that is front right', '39','9','mug'
' Get the book', '40','10','book'
' get the book that is front left', '49','11','book'
' Get the bottle that is front of the keyboard on the right', '5','12','bottle'
' Get the book that is turned sideways on the left of the table', '51','13','book'
' Get the bottle that is back left near the monitor', '61','14','bottle'
' Get the book that is front of the keyboard to the left', '66','15','book'
' Get the coffee mug that the front left', '7','16','mug'
' Get the mug beside the bottle', '70','17','mug'
' Get the mug that is closest to the keyboard on left', '75','18','mug'
' Grab the book by the keyboard on the left closest to the keyboard', '89','19','book'
' Get the book on the far left', '90','20','book'
' Pick up the bottle closest to where a person in a chair would be sitting', '101','1','bottle'
' Pick up the 2nd bottle from the left', '106','2','bottle'
' Pick up the mug directly behind the laptop', '119','3','mug'
' Pick up the farthest bottle', '27','5','bottle'
' Pick up the 2nd mug from the left', '28','6','mug'
' Pick up the bottle just behind the mug', '29','7','bottle'
' Pick up the mug directly behind the keyboard', '37','8','mug'
' Pick up the mug to the left of the book', '39','9','mug'
' Pick up the black book', '40','10','book'
' Pick up the black book', '40','10','book'
' Pick up the middle of the 3 books', '49','11','book'
' Pick up the black book in front of the mug', '51','13','book'
' Pick up the bottle next to the monitor', '61','14','bottle'
' Pick up the book next to the keyboard', '66','15','book'
' Pick up the middle of the 3 mugs', '7','16','mug'
' Pick up the mug next to the bottle', '70','17','mug'
' Pick up the mug behind the black book', '75','18','mug'
' Pick up the book directly to the left of the monitor', '89','19','book'
' Pick up the 1st book on the left', '90','20','book'
' Pick up the bottle in front of the keyboard', '101','1','bottle'
' Pick up the water bottle between the two other ones', '106','2','bottle'
' Pick up the mug closest to the laptop', '119','3','mug'
' Pick up the book in front of the cup', '123','4','book'
' Pick up the bottle closest to the monitor', '27','5','bottle'
' Pick up the cup next to the book in front of the keyboard', '28','6','mug'
' Pick up the bottle of the left side of the desk', '29','7','bottle'
' Pick up the cup in front of the monitor', '37','8','mug'
' Pick up the cup next to the book', '39','9','mug'
' Pick up the book next to the cup', '40','10','book'
' Pick up the book to the left of the bottle', '49','11','book'
' Pick up the bottle on the right in front of the keyboard', '5','12','bottle'
' Pick up the book on the left side of the desk', '51','13','book'
' Pick up the bottle to the left in the corner of the desk', '61','14','bottle'
' Pick up the book next to the computer keyboard', '66','15','book'
' Pick up the mug to the left of the two in front', '7','16','mug'
' Pick up the cup right next to the water bottle', '70','17','mug'
' Pick up the cup to the left of the keyboard', '75','18','mug'
' Pick up the first book to the left of the keyboard', '89','19','book'
' Pick up the book on the left side of the desk', '90','20','book'
' 3rd bottle from the left', '101','1','bottle'
' 2nd bottle from left', '106','2','bottle'
' 2nd mug from right', '119','3','mug'
' pick up the book at the back', '123','4','book'
' pick up bottle in the back', '27','5','bottle'
' pick up coffee mug on the right', '28','6','mug'
' Pick up the object behind the mug towards the front of the desk', '29','7','bottle'
' cup in front of the monitor', '37','8','mug'
' pick up mug on the right', '39','9','mug'
' pick up the book', '40','10','book'
' pick up 2nd book from the left', '49','11','book'
' pick up 2nd bottle from the right', '5','12','bottle'
' Pick up the book to the left', '51','13','book'
' pick up the bottle on the left', '61','14','bottle'
' book to the left in front', '66','15','book'
' 1st up to the left in front', '7','16','mug'
' mug next to the bottle', '70','17','mug'
' pick up the 2nd mug from left', '75','18','mug'
' 2nd book from left', '89','19','book'
' 1st book on left', '90','20','book'
' Pick up the grey bottle that is in front of the computer', '101','1','bottle'
' Pick up the grey bottle that is in between two gray bottles', '106','2','bottle'
' Pick up the grey mug that is on the left side of the black book', '119','3','mug'
' Pick up the black book that is in front of the gray mug', '123','4','book'
' Pick up the gray mug that is in front of a gray bottle', '28','6','mug'
' Pick up the gray bottle by the gray mug', '29','7','bottle'
' Pick up the gray mug that is in between the monitor and the keyboard', '37','8','mug'
' Pick up the grey mug that is next to the black book', '39','9','mug'
' Pick up the black book', '40','10','book'
' Pick up the black book that is to the left of the grey bottle', '49','11','book'
' Pick up the gray bottle that is on the right side of the grey bottle that is in front of the computer', '5','12','bottle'
' Pick up the black memo book that is by the grey coffee mug', '51','13','book'
' Pick up the bottle that is on the left side of the grey bottle in the back', '61','14','bottle'
' Pick up the black book that is in front of the black book in the back', '66','15','book'
' Pick up the gray mug that is on the left side of a gray mug', '7','16','mug'
' Pick up the grey mug that is next to the gray bottle', '70','17','mug'
' Pick up the grey mug that is behind the black book', '75','18','mug'
' Pick up the black book that is on the right side of the black book next to it', '89','19','book'
' Pick up the black book that is on the left of the black book next to the computer', '90','20','book'
' Pick up the 3rd bottle from the left', '101','1','bottle'
' Pick up the second bottle from the left', '106','2','bottle'
' Pick up the second cup from the right', '119','3','mug'
' Pick up the book', '123','4','book'
' Pick up the bottle to the upper left of the keyboard', '27','5','bottle'
' Pick up the cup thats directly to the left of the book at the front of the desk', '28','6','mug'
' Pick up the bottle to the left of the keyboard', '29','7','bottle'
' Pick up the cup that is in front of the monitor', '37','8','mug'
' Pick up the first cup from the right', '39','9','mug'
' Pick up the book', '40','10','book'
' Pick up the book to the lower left of the first bottle from the left', '49','11','book'
' Pick up the second bottle from the right', '5','12','bottle'
' Pick up the book to the right of the first cup from the left of the desk', '51','13','book'
' Pick up the first bottle to the right of the monitor', '61','14','bottle'
' Pick up the book to the lower left of the keyboard', '66','15','book'
' Pick up the cup thats closest to the edge of the table', '7','16','mug'
' Pick up the cup that is to the right of the bottle', '70','17','mug'
' Pick up the second cup from the left', '75','18','mug'
' Pick up the second book from the left', '89','19','book'
' Pick up the first book from the left', '90','20','book'
' Pick up the bottle right in front of the keyboard', '101','1','bottle'
' Pick up the middle bottle', '106','2','bottle'
' Pick up the book towards the back of the desk', '123','4','book'
' Pick up the bottle to the back of the desk', '27','5','bottle'
' Pick up the cup towards the front of the desk', '28','6','mug'
' Pick up the bottle right in front of the keyboard', '29','7','bottle'
' Pick up the cup closest to the keyboard', '37','8','mug'
' Pick up the cup towards the front of the desk', '39','9','mug'
' Pick up the book next to the cup', '40','10','book'
' Pick up the book on the left of the desk', '49','11','book'
' Pick up the bottle to the right of the keyboard', '5','12','bottle'
' Pick up the book to the front of the desk', '51','13','book'
' Pick up the left most bottle', '61','14','bottle'
' Pick up the book in front of the keyboard', '66','15','book'
' Pick up the cup in the front left', '7','16','mug'
' Pick up the cup to the right of the bottle', '70','17','mug'
' Pick up the cup right in front of the keyboard', '75','18','mug'
' Pick up the book directly to the left of the keyboard', '89','19','book'
' Pick up the leftmost book', '90','20','book'
' In the group of three bottles pick up the one that is farthest to the right', '101','1','bottle'
' In the group of three bottles pick up the one that is in the middle', '106','2','bottle'
' Pick up the mug that is just to the right of the laptop', '119','3','mug'
' Pick up the book', '123','4','book'
' Pick up the white bottle that is closest to the monitor', '27','5','bottle'
' Pick up the mug that is closest to you', '28','6','mug'
' Pick up the bottle that is farthest left', '29','7','bottle'
' Pick up the mug that is in front of the monitor on the right', '37','8','mug'
' Pick up the mug that is closest to you on the right', '39','9','mug'
' Pick up the book with the black cover', '40','10','book'
' Pick up the book that is second from the left', '49','11','book'
' Pick up the bottle that is toward the bottom of the keyboard on the right', '5','12','bottle'
' Pick up the book that is closest to you', '51','13','book'
' Pick up the bottle that is just to the right of the monitor', '61','14','bottle'
' Pick up the book that is second from the left', '66','15','book'
' Pick up the mug that is closest to you on the left', '7','16','mug'
' Pick up the mug that is to the right of the white bottle', '70','17','mug'
' Pick op the mug that is second from the left', '75','18','mug'
' Pick up the book that is second from the left', '89','19','book'
' Pick up the book that is farthest left', '90','20','book'
' pick up front right bottle', '101','1','bottle'
' pick up middle bottle', '106','2','bottle'
' pick up mug second from right', '119','3','mug'
' pick up book', '123','4','book'
' pick up back bottle', '27','5','bottle'
' pick up mug on lower right', '28','6','mug'
' pick up left bottle', '29','7','bottle'
' pick up mug in front of monitor', '37','8','mug'
' pick up mug next to book', '39','9','mug'
' pick up book', '40','10','book'
' pick up book on lower left', '49','11','book'
' pick up middle bottle', '5','12','bottle'
' pick up left book', '51','13','book'
' pick up bottle closest to monitor', '61','14','bottle'
' pick up book on my left by keyboard', '66','15','book'
' pick up lower left mug', '7','16','mug'
' pick up mug next to bottle', '70','17','mug'
' pick up mug near keyboard on the left', '75','18','mug'
' pick up book immediately on the left of keyboard', '89','19','book'
' pick up left book', '90','20','book'
' Pick up the bottle in the front', '101','1','bottle'
' Pick up the middle bottle', '106','2','bottle'
' Pick up the second mug from the right', '119','3','mug'
' Pick up the black book', '123','4','book'
' Pick up the book', '123','4','book'
' Pick up the bottle in the back', '27','5','bottle'
' Pick up the closest mug', '28','6','mug'
' Pick up the bottle on the left', '29','7','bottle'
' Pick up the mug in front of the monitor', '37','8','mug'
' Pick up the mug closest to the book', '39','9','mug'
' Pick up the middle book', '49','11','book'
' Pick up the second bottle from the right', '5','12','bottle'
' Pick up the solid black folder thats between two mugs', '51','13','book'
' Pick up the bottle on the left', '61','14','bottle'
' Pick up the middle book', '66','15','book'
' Pick up the mug on the left', '7','16','mug'
' Pick up the mug in the middle row', '70','17','mug'
' Pick up the middle mug', '75','18','mug'
' Pick up the middle book', '89','19','book'
' Pick up the book in the left corner', '90','20','book'
' Pick up the third bottle from the left', '101','1','bottle'
' Pick up the second bottle from the left', '106','2','bottle'
' Pick up the second mug from the right', '119','3','mug'
' Pick up the book on the right', '123','4','book'
' Pick up the bottle closest to the computer screen', '27','5','bottle'
' Pick up the mug on your right', '28','6','mug'
' Pick up the bottle on the left', '29','7','bottle'
' Pick up the mug on the right', '37','8','mug'
' Pick up the mug on your right', '39','9','mug'
' Pick up the book on your right', '40','10','book'
' Pick up the second book from the left', '49','11','book'
' Pick up the second bottle from the right', '5','12','bottle'
' Pick up the book on the left', '51','13','book'
' Pick up the bottle on the left', '61','14','bottle'
' Pick up the second book from the left', '66','15','book'
' Pick up the second mug from the right', '7','16','mug'
' Pick up the mug next to the bottle', '70','17','mug'
' Pick up the second mug from the left', '75','18','mug'
' Pick up the second book from the left', '89','19','book'
' Pick up the book on the left', '90','20','book'
' Pick up the bottle directly in front of the keyboard', '101','1','bottle'
' Pick up the middle bottle to the left of the keyboard', '106','2','bottle'
' Pick up the mug just to the right of the laptop', '119','3','mug'
' Pick up the black book', '123','4','book'
' Pick up the black book', '123','4','book'
' Pick up the mug closes to the front edge of the table', '28','6','mug'
' Pick up the bottle to the left of the keyboard', '29','7','bottle'
' Pick up the mug directly behind the keyboard', '37','8','mug'
' Pick up the mug at the front right edge of the table', '39','9','mug'
' Pick up the black book closes to the front edge of the table', '49','11','book'
' Pick up the bottle in front of the right half of the keyboard', '5','12','bottle'
' Pick up the black book to the right of the mug at the front of the table', '51','13','book'
' Pick up the white bottle closes to the monitor', '61','14','bottle'
' Pick up the book nearest the keyboard on the left', '66','15','book'
' Pick up the mug closest to the edge of the front of the table', '7','16','mug'
' Pick up the coffee mug to the right of the bottle', '70','17','mug'
' Pick up the mug nearest the keyboard on the left', '75','18','mug'
' Pick up the black book just to the left of the keyboard', '89','19','book'
' Pick up the book furthest on the left', '90','20','book'
' Pick up the bottle that is on the 3rd of the three', '101','1','bottle'
' Pick up the bottle that is in the middle of the three', '106','2','bottle'
' Pick up the cup on the right to the laptop', '119','3','mug'
' Pick up the book', '123','4','book'
' Pick up the mug that is on the lower right of the keyboard', '28','6','mug'
' Pick up the bottle that is behind the mug', '29','7','bottle'
' Pick up the mug that is on top of the keyboard', '37','8','mug'
' Pick up the mug that is next to the book', '39','9','mug'
' Pick up the book that is next to the mug', '40','10','book'
' Pick up the book that is closest to the edge of the table', '49','11','book'
' Pick up the 3rd bottle from the left', '5','12','bottle'
' Pick up the book that is on the left of the table', '51','13','book'
' Pick up the bottle that is right next to the monitor', '61','14','bottle'
' Pick up the book that is by the corner of the keyboard', '66','15','book'
' Pick up the second cup from the left nearest to the edge of the table', '7','16','mug'
' Pick up the mug that is right next to the bottle', '70','17','mug'
' Pick up the mug that is left to the keyboard', '75','18','mug'
' Pick up the 2nd book that is next to the keyboard and monitor', '89','19','book'
' Pick up the book that is on the left of the table', '90','20','book'
' Bottle in front of keyboard', '101','1','bottle'
' front middle bottle', '106','2','mug'
' back left cup', '119','3','mug'
' Black square', '123','4','book'
' far back bottle', '27','5','bottle'
' Front gray cup', '28','6','mug'
' bottle behind cup', '29','7','bottle'
' cup in front of monitor', '37','8','mug'
' cup next to the black book', '39','9','mug'
' black book', '40','10','book'
' Front left black book', '49','11','book'
' 2nd from the right bottle', '5','12','bottle'
' black book in front of cup', '51','13','book'
' Back left bottle', '61','14','bottle'
' Front left black book', '66','15','book'
' Front left grey cup', '7','16','mug'
' cup right of bottle', '70','17','mug'
' cup behind black book', '75','18','mug'
' Black book left of keyboard', '89','19','book'
' far left black book', '90','20','book'
' Pick up the bottle thats directly in front of the keyboard', '101','1','bottle'
' Pick up the middle of the three bottles on the left', '106','2','bottle'
' Pick up the first cup to the back right of the laptop', '119','3','mug'
' Pick up the cup beside the book on the bottom right side of the desk', '28','6','mug'
' Pick up the bottle behind the cup on the bottom left', '29','7','bottle'
' Pick up the cup between the keyboard and monitor', '37','8','mug'
' Pick up the cup on the bottom right side of the desk', '39','9','mug'
' Pick up the book', '40','10','book'
' Pick up the book', '40','10','book'
' Pick up the bottom left book', '49','11','book'
' Pick up the bottle by the bottom right of the keyboard', '5','12','bottle'
' Pick up the book on the left side of the desk', '51','13','book'
' Pick up the first bottle to the right of the monitor', '61','14','bottle'
' Pick up the book thats below the keyboard', '66','15','book'
' Pick up the white cup thats in front of the other', '7','16','mug'
' Pick up the cup next to the bottle', '70','17','mug'
' Pick up the cup behind the book to the left of the keyboard', '75','18','mug'
' Pick up the book to the left of the monitor', '89','19','book'
' Pick up the book on the far left top side of the desk', '90','20','book'
' PICKUP THE BOTTLE CLOSEST TO THE CUPS', '101','1','bottle'
' PICKUP THE MIDDLE BOTTLE WHERE THERE ARE 3 BOTTLES', '106','2','bottle'
' PICKUP THE FIRST CUP BEHIND THE LAPTOP', '119','3','mug'
' PICKUP THE BOOK IN BETWEEN THE 2 CUPS', '123','4','book'
' PICK UP THE BOTTLE IN FRONT OF THE CUP THAT IS BEHIND THE COMPUTER SCREEN', '27','5','bottle'
' PICKUP THE CUP CLOSEST TO THE EDGE OF THE TABLE', '28','6','mug'
' PICKUP THE BOTTLE CLOSET TO THE KEYBOARD', '29','7','bottle'
' PICKUP THE CUP IN BETWEEN THE KEYBOARD AND COMPUTER SCREEN', '37','8','mug'
' PICK UP THE CUP ON THE RIGHT WITH YOUR RIGHT HAND', '39','9','mug'
' PICKUP THE ONLY BOOK ON THE TABLE', '40','10','book'
' PICKUP THE BOOK CLOSEST TO THE EDGE OF THE TABLE', '49','11','book'
' PICKUP THE BOTTLE TO LEFT IN FRONT OF THE KEYBOARD', '5','12','bottle'
' PICKUP THE BOOK IN BETWEEN THE CUPS', '51','13','book'
' PICKUP THE BOTTLE CLOSEST TO THE DESKTOP SCREEN', '61','14','bottle'
' PICKUP THE BOOK IN FRONT OF THE KEYBOARD', '66','15','book'
' PICKUP THE FIRST CUP TO THE LEFT IN FRONT', '7','16','mug'
' PICKUP THE CUP CLOSEST TO THE BOTTLE', '70','17','mug'
' PICKUP THE CUP IN FRONT OF THE KEYBOARD', '75','18','mug'
' PICK UP THE BOOK LEFT TO THE KEYBOARD', '89','19','book'
' PICKUP THE BOOK FURTHEST BOOK FROM THE LEFT OF THE COMPUTER', '90','20','book'
' pick up the bottle closest to the front side of the table in front of the keyboard', '101','1','bottle'
' pick up the middle bottle on the left side of the table behind the book', '106','2','bottle'
' pick up the cup the directly behind the right side of the laptop', '119','3','mug'
' pick up the book on the back right side of the desk', '123','4','book'
' pick up the bottle on the back right side of the desk', '27','5','bottle'
' pick up the cup on the right front side of the table near the book', '28','6','mug'
' pick up the bottle behind the cup on the left front side of the desk', '29','7','bottle'
' Pick up the cup behind the left side of the keyboard and the momitor', '37','8','mug'
' pick up the cup on the right side of the table next to the book', '39','9','mug'
' pick up the book on the right front side of the desk', '40','10','book'
' pick up the book on the left front side of the table', '49','11','book'
' Pick up the middle bottle to the right front side of the keyboard', '5','12','bottle'
' pick up the left bottle on the right back side of the desk', '61','14','bottle'
' pick up the book to the left front side of the keyboard', '66','15','book'
' pick up the lest cup on the right front side of the desk', '7','16','mug'
' pick up the cup behind the two cups in the front of the desk next to the bottle', '70','17','mug'
' Pick up the cup on the middle cup on the table closest to the keyboard', '75','18','mug'
' pick up the middle book on the back side of the desk to the leftof the keyboard', '89','19','book'
' pick up the book to the left back side of the desk', '90','20','book'
